video_id,comments_disabled,ratings_disabled
Hq4jk71B1Hk,False,False
odHhIVjDgq8,False,False
4AtOU0dDXv8,False,False
FtB3YSdLQR4,False,False
jS9q7Tu_G0o,False,False
j7RZy2B73hw,False,False
wx-M8sxcOp8,False,False
hSvnepZS26s,False,False
vgX5M1eVhyw,False,False
3UoKswz6OQc,False,False
HuwPCUzqwKs,False,False
uGwcNjWrgaU,False,True
sFtLUGa3arU,False,False
P-MQBhBwvgM,False,False
EUPlbO3Ub2I,False,False
48-pr5-G6Pw,False,False
HhGJBBPVpqQ,False,False
Cp6j-izXLtE,False,False
rrwd2_UkmNw,False,False
XUIwpXq_jBo,False,False
6wHVgiM0R54,False,False
UPFo1B81hKM,False,False
v2OTO6UEVAo,False,False
dc89yyOS0Z8,False,False
GdR0JlvbtWg,False,False
qNYhd5QtAlE,False,False
QY83PJXQYXc,False,False
juTa0fPI22M,False,False
V8OUVHlpnag,False,False
4MYaA4WEo1Y,False,False
PKa01AvSATE,True,False
hXcoq5XDwyA,False,False
1ZXWwIjQnHs,False,False
-C_rvt0SwLE,False,False
zZTyHHxJAzw,False,False
4EIvK9XsFRo,False,False
8rbE3RssSEY,False,False
6kLYXbNZWRs,False,False
YHdOh90kGHQ,False,False
TynRELscK8s,False,False
pqzopUurZPc,False,False
S9Xg6iUxYXU,False,False
5HOijUtExiM,False,False
PKP8Mimj3QI,False,False
JeRtUXTQ_aQ,False,False
9H2SSvQ8ihA,False,False
-TQpVg4vcrk,False,False
rRr1qiJRsXk,False,False
BWJY1na9qao,False,False
Lwfhn_MiTTg,False,False
o7f1HVFpRPI,False,False
wtTmLBfIiG4,False,False
gS1DbvHHVH0,False,False
sukhhtHWgko,False,False
CQQit01HHLY,False,False
g2MyotPRcXE,False,False
sXP6vliZIHI,False,False
L_SyKf-ETlY,False,False
_akwfRuL4os,False,False
FA_gIAGNDQ8,False,False
Uh4XJjr53vg,False,False
WeOwqu6gOPs,False,False
clT-XYIceIc,False,False
mrORbZ2dS08,False,False
kWIzjMWmuYk,False,False
V1LBWKqQpfI,False,False
d54e3kcTlHM,False,False
mlpS-ph8-Ec,False,False
rTukZtX_VCg,False,False
Lxet1zLBTM8,False,False
U9w-yE3SvkY,False,False
8szK9FBpdPI,False,False
5JYqTSSH6IA,False,False
DCUD9kjYOAk,False,False
rL4WkebTT_U,False,False
e15ZR6XG4Z8,False,False
UO5ktwPXsyM,False,False
uE_dSIumQ5Q,False,False
R1TSiB9OuVM,False,False
hRnVb4z6Hw0,False,False
evhLzq7Gsak,False,False
UNnHy6Qc5-c,False,False
e9NOwaiXqqA,False,False
r2vDabFVj-A,False,False
S_5TyDFx6kc,False,False
_Lp5iMI8RWc,False,False
oWjxSkJpxFU,False,False
koUB3vl737c,False,False
4ay4S61byZo,False,False
QaEx2A7p9Dk,False,False
6fyE0B430Rc,False,False
j5cSKF5FzD0,False,False
CP5Ro3oy-ec,False,False
SCR1KeLDZxw,False,False
No35-c4zXjo,False,False
qS6LoRYUdhw,False,False
fJJBAwiOjRI,False,False
8C8pRDetZr8,False,False
jGiqc3HSxEg,False,False
UqItlHUSN-4,False,False
BGszdLW-VqM,False,False
C4YNcqNF4hg,False,False
CZkUNPBlJIQ,False,False
CokyUUrx18w,False,False
-NcG4L0pwvE,False,False
c8DogLWrs90,False,False
Y0KgYB3wIGo,False,False
phGlo_TNDp0,False,False
fYo_ZqCFafU,False,False
QK_iX5cPDhE,False,False
Rq9-mW6HgQE,False,False
7FA21oJ3-hw,False,False
kewIE0Zw6yY,False,False
Wpm07-BGJnE,False,False
JZ2fRE_nkak,False,False
PdWe5ULGy_s,False,False
Nz0qoOgyWSQ,False,False
mewW_pRSgEc,False,False
SPJsPQBnA2s,False,False
uui3jdrph5Q,False,False
0ANDjPQPS_Q,False,False
nNZrc_XvF30,False,False
ykHeGtN4m94,False,False
FrK2j4cPxSc,False,False
b7FxPsqfkOY,False,False
zBovkx07epw,False,False
yMf3dvNzXbU,False,False
-BQJo3vK8O8,False,False
pcWKpGzhgq4,False,False
Ek3aeUhHaFY,False,False
S10azlzvS_8,False,False
er2kQ21ZTG0,False,False
w8VHZAeItno,False,False
8FqgrgVPvio,False,False
TudhYwBrgYg,False,False
IYhwU5Q5mkA,False,False
8uBP6UL-jEU,False,False
MJGkm0UwNRk,False,False
V84c6CqZ3dE,False,False
RUApBid9vnE,False,False
oyC4lLTOyL8,False,False
MLVcmQ62luE,False,False
EWf7P3okX9s,False,False
26qOMpjicGs,False,False
8tbQHHso0oY,False,False
lxSWRdgD4Ho,False,False
Lr8VpJ2GX2E,False,False
UFz3K9ByUqE,False,False
XKrV_JqZX1Q,False,False
ZJkc_C5-Cd8,False,False
sTnCS91HgcE,False,False
ZnkiHQLI0w0,False,False
cON3fiEm3Lc,False,False
zEHRNS-Scrs,False,False
kl_jxVID3PE,False,False
yJqsPBWbtjk,False,False
DM-ni_LSOFE,False,False
HL3wvhv9QGg,False,False
Hz56cJfoYgc,False,False
tUBLW5bCqfM,False,False
BGk6_KEFtLE,False,False
m9sR3Z0vVOc,False,False
WXTNngJsBrI,False,False
WpTjFhA09kQ,True,False
T_Fskj6ihT4,False,False
gfmXCAwBkCE,False,False
r2H8Oqm1eQ4,False,False
N-z9PidYH4E,False,False
IgUlowmSeHo,False,False
KOUxLhYVgGw,False,False
n4GynhABYdU,False,False
PKf29H2z81w,False,False
uQWuC7L4_DQ,False,False
bwlEaGiO9Zw,False,False
kfOeQj7HsCE,False,False
5YMtjjAzxWA,False,False
52pwYD_rxmE,False,False
3RlbqOl_4NA,False,False
S5xFft7kg8Q,False,False
Ew-3-8itpjc,False,False
sD_31GJmhUc,False,False
v4DFeT9z7yY,True,True
iZpxzfMkVzM,False,False
-2RVw2_QyxQ,False,False
JFmkRNbDF70,False,False
qDAxDcjgn-8,False,False
lOT0GOyw2pY,False,False
7cqYiUmutGI,False,False
6wGj89GE6aQ,False,False
wJJqGh2HLM8,False,False
_suPAag6_i8,False,False
Ho-QAgN6hHA,False,False
oD9XpUKD7y4,False,False
BN7rNfOsBJo,False,False
9pXLSjDkcEE,False,False
S0eLwrrTBlc,False,False
zGD3Qvb04gc,False,False
iOVg62_DUYU,False,False
szFrHKoD1GE,False,False
vd4zwINEcLY,False,False
VSJ0STT8JRw,False,False
sTfUSq8-9Jw,False,False
hXzcIoq2ing,False,False
OcFcdFZQSBo,False,False
l7YnFiAAlxw,False,False
8vCn190ti9U,False,False
AV5TOlGFHk0,False,False
35m4leH72dA,False,False
x4TZEVqKIvs,False,False
f3mOQCjL10g,True,False
v8VMdSQL50w,False,False
3HXIkBeKQ14,True,False
tojsUHxmOrQ,False,False
ffxKSjUwKdU,False,False
MvFcY9rTPx8,True,False
ZsvViZgVXL8,False,False
iZUfPIKbgUM,False,False
SbrOMrjhyvI,False,False
lzuWvKn80V8,False,False
c-3JxzN2u34,False,False
BEcs3TL8DII,False,False
FGI7iaAIN3U,False,False
9Tuqhjq5ANQ,False,False
n30k5CwLhS4,False,False
KjICBHj1EzM,False,False
7dbRDavsp6I,False,False
8pB4fkdD93o,False,False
