video_id,total_views,total_likes,total_comments,comments_disabled,ratings_disabled
9m9oO84Q2fk,16371326,408367,28927,False,False
JQbjS0_ZfJ0,16354826,511764,33304,False,False
eACohWVwTOc,16219716,559289,28940,False,False
36tggrpRoTI,16146848,1094557,65275,False,False
pVxOVlm_lE8,16141230,309556,27714,False,False
uxbQATBAXf8,15960127,374825,9059,False,False
wJJqGh2HLM8,15904385,1088,356,False,False
wb49-oV0F78,15852974,223563,16923,False,False
d1D1SJ-KqaQ,15552885,548563,53665,False,False
UfKmSfgFxi8,15346180,551373,27094,False,False
hYirFqEc8Tg,15261429,408018,28186,False,False
CY8E6N5Nzec,15208321,592538,29404,False,False
coOKvrsmQiI,15104666,143947,25593,False,False
DKPCBAlDw2A,15088622,385303,17156,False,False
C-rumHvmqCA,15045586,0,0,True,True
8MPbR6Cbwi4,15043210,247709,13399,False,False
tlILlcCE8Sc,15042428,330679,9174,False,False
oSEeK9yDNQI,15000691,267429,20343,False,False
TI5bEf-BULU,14890847,142231,6042,False,False
SA7AIQw-7Ms,14860998,560637,23365,False,False
dzxFdtWmjto,14738111,208846,33152,False,False
1FJD7jZqZEk,14723484,190948,18386,False,False
p6E9R9qv1No,14487632,281374,37412,False,False
s31XTrGJchQ,14444272,115979,2190,False,False
oRArmtMA9AI,14211432,368697,41083,False,False
df7PZIVe1lw,14183631,142619,74964,False,False
_5d-sQ7Fh5M,14161833,1216340,436698,False,False
JqfuKsoEEms,14118990,5790,628,False,False
-RmUADCWI4A,14107720,356297,27012,False,False
GpxCT36DxKg,14100194,122783,18627,False,False
VwAnsAUYnw4,13882785,380406,26945,False,False
DdLYSziSXII,13831320,395282,35732,False,False
RQUuqbzQVsY,13809604,475593,20933,False,False
v-dfygYIfLs,13782417,441898,38539,False,False
6S9c5nnDd_s,13619534,347100,19977,False,False
_hMQe2U4c6w,13418200,370750,23500,False,False
Wh1L0rOaa88,13375071,289322,23254,False,False
ktafrbsKeZw,13312573,23448,1794,False,False
90CCjgX0n20,13124176,22664,1995,False,False
ycy30LIbq4w,13075811,522793,28178,False,False
_EvMYEfF_hQ,13025011,436454,31464,False,False
_BcYBFC6zfY,12976087,218467,39393,False,False
6uJf2IT2Zh8,12969561,591776,63191,False,False
ek1ePFp-nBI,12955997,200539,35147,False,False
NukmFF__G-g,12907907,490249,50805,False,False
ox7RsX1Ee34,12730630,577712,34480,False,False
D_6QmL6rExk,12709520,1817699,156793,False,False
pmMjkMtpnTc,12529936,615429,80024,False,False
SKV6h_5XFbk,12453063,278324,11359,False,False
8-Cjsnq8kVU,12382809,328876,14836,False,False
vjnqABgxfO0,12218726,103018,17966,False,False
8O_MwlZ2dEg,12163782,1784129,180133,False,False
ZEkImgh--PE,12122117,293849,11076,False,False
V69XYIRjKww,12030454,1667,348,False,False
JcdLF6XQ0iw,12018779,879532,158478,False,False
q8v9MvManKE,11979805,408461,17964,False,False
TdyllLZeviY,11979805,408461,17964,False,False
-C_rvt0SwLE,11773962,397715,20481,False,False
IBVo8dfqTBc,11509602,191913,18854,False,False
NYMcACJLqJs,11415161,88781,3091,False,False
qUmfriZoMw0,11385180,39894,2800,False,False
20DPgRoyQn0,11383684,132635,13841,False,False
nQySbNGu4g0,11381059,1141726,69934,False,False
p8XP7A7kvzM,11217517,216489,11975,False,False
3BJU2drrtCM,11188382,481888,19790,False,False
5sEaYB4rLFQ,11161971,218633,18871,False,False
2z3EUY1aXdY,11154250,150451,29640,False,False
oMOljrWUUXc,11135294,15412,1309,False,False
fRj34o4hN4I,10775416,205630,35422,False,False
u_SA2QkZd24,10698770,479666,29516,False,False
iILJvqrAQ_w,10565823,123054,5746,False,False
rAH8qm5oQHg,10531608,122553,10736,False,False
KiBS-dbv_x0,10523399,282075,10352,False,False
My4RA5I0FKs,10505035,238584,13998,False,False
RF-Mqs2qC-M,10501355,271913,25561,False,False
SxAp27sFaIM,10403477,261095,33906,False,False
Q9vZHbcx6cQ,10384060,165263,5330,False,False
j4KvrAUjn6c,10381263,163325,25323,False,False
ooyjaVdt-jA,10306119,357079,144795,False,False
Kc6CIwBVo5s,10277358,49782,0,True,False
jPEYpryMp2s,10271274,183101,34633,False,False
P3Bd3HUMkyU,10256746,268212,68628,False,False
Q3jege0p0dQ,10216106,233312,0,True,False
